UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Estado de Obra;Porcentaje de avance;LPN Nº;Fecha de Inicio;Fecha de recepcion definitiva;Nivel;;;;;;;;;;;
;;;ALTO PARAGUAY;Carmelo Peralta;;Punta Ayoreo;FONAVIS;40;Alto Forrest Paraguay;Culminado;;;;;4;;;;;;;;;;;
21 K;7773095;377113;ALTO PARAGUAY;Bahia Negra;Puerto Caballo;Puerto Caballo;Pueblos Originarios;16;J.R. Constructora;Paralizado;;003/11;08/07/11;;;;;;;;;;;;;
21 K;7758976;378545;ALTO PARAGUAY;Bahia Negra;Puerto Diana;Puerto Diana;Pueblos Originarios;20;J.R. Constructora;Paralizado;;003/11;08/07/11;;;;;;;;;;;;;
21 K;7752436;384143;ALTO PARAGUAY;Bahia Negra;Puerto Helena;Puerto Helena;Pueblos Originarios;10;J.R. Constructora;Paralizado;;003/11;08/07/11;;;;;;;;;;;;;
;;;ALTO PARAGUAY;Puerto Casado;;G.O. Machete Vaina;FONAVIS;60;"CODES ""COMUNIDAD Y DESARROLLO SUSTENTABLE""";En Ejecución;;;17/02/13;;4;;;;;;;;;;;
21k;7670976;409330;ALTO PARAGUAY;Fuerte Olimpo;Fuerte Olimpo;Santa Teresita - Fte. Olimpo;Pueblos Originarios;20;LUCIO GERMAN CABAÑAS BARRIOS.---;Rescindido;;011/11;;;;;;;;;;;;;;
21 J;;;ALTO PARAGUAY;Puerto Casado;;G.O.Com.Ind. San Isidro Km. 39;FONAVIS;70;"CODES ""COMUNIDAD Y DESARROLLO SUSTENTABLE""";En Ejecución;;;03/03/14;;4;;;;;;;;;;;
21 J;7223406;718279;ALTO PARANA;Mbaracayu;Kirito;Kirito;Pueblos Originarios;20;S.I.P. Servicios Integrales en Proyectos;Rescindido;;011/11;;;;;;;;;;;;;;
;;;ALTO PARANA;Presidente Franco;Presidente Franco;San Cayetano Km 7 Monday;FONAVIS;10;Lic. Maria Mercedez Enriquez;En Ejecución;;;;;4;;;;;;;;;;;
21J;7180390;731511;ALTO PARANA;Ciudad del Este;Ciudad del Este;Ciudad del Este;Viviendas Económicas;150;CONSTRUCTORA EL PROGRESO;En Ejecución;;003/11;;;;;;;;;;;;;;
21J;7185217;735153;ALTO PARANA;Ciudad del Este;;Takuru Pucu 2° Fase;FONAVIS;10;MERCEDES GERALDINE GONZALEZ ALFONSO;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7188753;736049;ALTO PARANA;Hernandarias;;El Sol sale para Todos 2da fase;FONAVIS;8;CESARINA BARRETO DE ENCISO;Culminado;;;;;4;;;;;;;;;;;
21J;7169693;735334;ALTO PARANA;Presidente Franco;;Presidente Franco;Viviendas Económicas;100;"CONSTRUCTORA ""EL PROGRESO"".---";En Ejecución;;003/11;13/09/11;;;;;;;;;;;;;
21j;7187447;675562;ALTO PARANA;Dr. Juan Leon Mallorquin;;J.L.Mallorquín;Vya Renda;35;INGENIERIA  APLICADA S.A.;Culminado;;007/11;13/10/11;24/03/12;;;;;;;;;;;;
21J;7277752;707014;ALTO PARANA;Yguazu;Arroyo Guazú;Arroyo Guazú;Pueblos Originarios;20;S.I.P. Servicios Integrales en Proyectos;Rescindido;;011/11;;;;;;;;;;;;;;
21 J;7188753;736049;ALTO PARANA;Hernandarias;;El Sol Sale para Todos 1ra Fase;FONAVIS;10;CESARINA BARRETO DE ENCISO;Culminado;;;;;4;;;;;;;;;;;
;;;ALTO PARANA;Presidente Franco;;Cooperativa Oga Reká;FONAVIS;40;C Consultores;En Ejecución;;;;;2,3,4;;;;;;;;;;;
21 J;7188753;736049;ALTO PARANA;Hernandarias;;El Sol sale para Todos 3ra Fase;FONAVIS;8;CESARINA BARRETO DE ENCISO;Culminado;;;;;4;;;;;;;;;;;
21J;7185217;735153;ALTO PARANA;Hernandarias;;Takuru Pucú 1° Fase;FONAVIS;20;MERCEDES GERALDINE GONZALEZ ALFONSO;Paralizado;;;;;4;;;;;;;;;;;
21 J;7191715;734759;ALTO PARANA;Hernandarias;;Virgen de Fatima;FONAVIS;30;CESARINA BARRETO DE ENCISO;En Ejecución;;;04/03/13;;4;;;;;;;;;;;
21J;7171801;693594;ALTO PARANA;Yguazu;Remanso Toro;Remanso Toro;Pueblos Originarios;25;S.I.P. Servicios Integrales en Proyectos;Rescindido;;011/11;;;;;;;;;;;;;;
21J;7167119;735835;ALTO PARANA;Yguazu;Puesto Cue;Puesto cue - N. esperanza;Pueblos Originarios;12;S.I.P. Servicios Integrales en Proyectos;Rescindido;;011/11;;;;;;;;;;;;;;
21 J;7172287;734818;ALTO PARANA;Presidente Franco;Presidente Franco;Asent. Oñondivepá Km. 7,5;FOCEM;98;CONSORCIO KRIMEA;Paralizado;;001/11;;;;;;;;;;;;;;
;;;ALTO PARANA;Ciudad del Este;;Buena Vista;FONAVIS;10;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;ALTO PARANA;Presidente Franco;Presidente Franco;Santo Domingo;FONAVIS;18;ARQ. CARLOS CESAR RIVAS MUÑOZ;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;ALTO PARANA;Ciudad del Este;B° San José - CDE;Villa Anita/Villa Fany;FONAVIS;6;ARQUIDEC S.R.L;Culminado;;;28/08/14;;4;;;;;;;;;;;
21 J;;;ALTO PARANA;Ciudad del Este;;"Com.Viv.Ñamopua Py-Sector I Jardín del Este
 Com.V";FONAVIS;7;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7172824;734208;ALTO PARANA;Presidente Franco;Presidente Franco;Asentamiento San Jorge y Pindu;FOCEM;100;I.A.S.A.;Culminado;;;;29/07/11;;;;;;;;;;;;
21 J;7188233;738374;ALTO PARANA;Hernandarias;Hernandarias;Asentamiento Jesús de Praga;FOCEM;169;Ing. Hugo Patiño;Culminado;;;;29/07/11;;;;;;;;;;;;
21 J;7187313;675544;ALTO PARANA;Sin Nombre;J.L.Mallorquín;Juan L. Mallorquín;Vya Renda;10;Constructora El Progreso;Culminado;;007/09;;25/03/10;;;;;;;;;;;;
21 J;;;ALTO PARANA;Presidente Franco;Presidente Franco;Presidente Franco;Vya Renda;10;JEV S.R.L.;Culminado;;007/09;;19/03/10;;;;;;;;;;;;
;;;ALTO PARANA;Minga Pora;Minga Porá;Minga Porá;Vya Renda;10;Constructora El progreso;Culminado;;007/09;;25/03/10;;;;;;;;;;;;
;;;ALTO PARANA;Juan E. O'Leary;Juan E.O'leary;Juan E.O'leary;Vya Renda;10;Arq. Juan Bautista Godoy Amor;Culminado;;007/09;;22/03/10;;;;;;;;;;;;
21 K;7503066;626147;AMAMBAY;Pedro Juan Caballero;Pedro Juan Caballero;Pedro Juan Caballero;Vya Renda;100;MULTIOBRA S.R.L.;En Ejecución;;018/12;;;;;;;;;;;;;;
21 K;7503919;627800;AMAMBAY;Pedro Juan Caballero;Pedro Juan Caballero;Asent.Vice Pte Sánchez;FOCEM;116;MMSA EMPRESA CONSTRUCTORA.---;En Ejecución;;001/11;;;;;;;;;;;;;;
;;;AMAMBAY;Capitan Bado;Capitan Bado;Asent. B° Sto. Domingo;FOCEM;0;IASA;En Ejecución;;001/11;;;;;;;;;;;;;;
21J;7202984;445064;ASUNCION;Asuncion;Asunción;Edificio Departamentos CIT;Viviendas Económicas;12;LEZCANO SANCHEZ ALFREDO;Culminado;;002/11;17/08/10;28/08/12;;;;;;;;;;;;
;;;BOQUERON;Neuland;;Paraiso 2° Fase;FONAVIS;40;ASOCIACION HABITAT PARA LA HUMANIDAD - PARAGUAY;En Ejecución;;;20/11/12;;4;;;;;;;;;;;
;;;BOQUERON;Mcal. Estigarribia;Mcal estigarribia;Casuarina I (Nivacle);FONAVIS;46;CEDES / HABITAT;En Ejecución;;;20/11/12;;4;;;;;;;;;;;
21 K;7497906;211537;BOQUERON;Tte.1º Manuel Irala Fernandez;Jerico;Jerico;Pueblos Originarios;30;J.R. Constructora;En Ejecución;;003/11;08/07/11;;;;;;;;;;;;;
20 K;7561286;749509;BOQUERON;Mariscal J. Felix Estigarribia;Mcal Estigarribia;Santa Teresita - Mcal.Estigarribia;Pueblos Originarios;20;J.R. Constructora;En Ejecución;;003/11;08/07/11;;;;;;;;;;;;;
